                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4065,                 1.8992,                 1.4536,                0.45235,                0.49689,                0.44352,                0.26052,                  1.578,                 3.0599,                 1.6276,             0.00030163,             0.00030163,             0.00030163
                      2,                 1.5558,                 1.8136,                 1.5641,                0.28848,                0.39952,                0.32466,                 0.1556,                 1.6298,                 3.5157,                 1.6252,             0.00059864,             0.00059864,             0.00059864
                      3,                 1.5416,                 1.8046,                 1.5671,                0.52483,                0.46913,                0.47119,                0.27038,                 1.5768,                 2.2374,                 1.6139,             0.00088966,             0.00088966,             0.00088966
                      4,                 1.4955,                 1.7072,                 1.5268,                0.65944,                 0.5808,                 0.6217,                0.35744,                 1.4452,                  1.609,                  1.456,               0.000882,               0.000882,               0.000882
                      5,                 1.4031,                  1.564,                 1.4687,                0.65351,                 0.6083,                0.62883,                0.37023,                 1.3948,                  1.451,                 1.4065,               0.000882,               0.000882,               0.000882
                      6,                 1.3452,                 1.4576,                 1.4337,                0.71625,                0.65945,                 0.7162,                0.44929,                 1.3488,                 1.2592,                 1.3692,               0.000873,               0.000873,               0.000873
                      7,                 1.3029,                 1.3889,                 1.4015,                0.73973,                0.67721,                0.73626,                0.47238,                 1.2588,                  1.253,                 1.3479,               0.000864,               0.000864,               0.000864
                      8,                  1.251,                 1.2972,                 1.3584,                0.74266,                0.71327,                0.75958,                0.51803,                 1.1468,                 1.1265,                 1.2567,             0.00085501,             0.00085501,             0.00085501
                      9,                 1.2274,                 1.2833,                 1.3534,                0.78122,                0.73619,                0.78905,                0.51531,                 1.2145,                 1.0984,                 1.3027,             0.00084601,             0.00084601,             0.00084601
                     10,                 1.1866,                 1.2025,                 1.3149,                 0.7528,                0.75125,                0.77743,                0.54187,                 1.0974,                 1.0866,                 1.2212,             0.00083701,             0.00083701,             0.00083701
                     11,                 1.1529,                 1.1584,                 1.2976,                0.76002,                0.77408,                0.80818,                0.55472,                 1.1194,                   1.04,                 1.2352,             0.00082801,             0.00082801,             0.00082801
                     12,                 1.1261,                 1.1253,                 1.2862,                0.82065,                 0.7323,                 0.8081,                0.55182,                 1.1069,                0.99949,                  1.198,             0.00081901,             0.00081901,             0.00081901
                     13,                 1.1322,                 1.1004,                 1.2849,                0.83096,                0.72089,                0.80197,                0.56766,                 1.0771,                 1.0166,                 1.2148,             0.00081001,             0.00081001,             0.00081001
                     14,                 1.0903,                  1.036,                 1.2485,                0.82192,                0.77625,                0.82702,                0.57088,                 1.1068,                0.92967,                  1.206,             0.00080101,             0.00080101,             0.00080101
                     15,                 1.0732,                 1.0527,                 1.2495,                0.82504,                0.77215,                0.83187,                0.58611,                 1.0467,                0.91583,                 1.1768,             0.00079201,             0.00079201,             0.00079201
                     16,                 1.0517,                 1.0132,                 1.2319,                0.86011,                0.78712,                 0.8467,                0.61463,                 1.0211,                0.86215,                   1.16,             0.00078301,             0.00078301,             0.00078301
                     17,                 1.0529,                 1.0036,                 1.2314,                0.83508,                0.77726,                0.83939,                0.61035,                 1.0136,                0.88472,                 1.1673,             0.00077401,             0.00077401,             0.00077401
                     18,                 1.0281,                0.97912,                 1.2172,                0.84805,                0.78128,                 0.8518,                0.61232,                0.98796,                 0.8706,                 1.1543,             0.00076501,             0.00076501,             0.00076501
                     19,                 1.0118,                  0.936,                 1.2112,                0.83301,                0.80603,                0.85464,                0.60449,                 1.0351,                0.87045,                 1.1824,             0.00075602,             0.00075602,             0.00075602
                     20,                0.99479,                0.91334,                 1.1936,                0.84829,                0.79429,                0.85605,                0.62268,                 1.0165,                0.88071,                 1.1538,             0.00074702,             0.00074702,             0.00074702
                     21,                0.99001,                0.90151,                 1.1936,                0.85561,                0.78561,                0.85328,                0.62207,                0.99938,                0.84167,                 1.1681,             0.00073802,             0.00073802,             0.00073802
                     22,                0.97856,                0.88812,                 1.1912,                0.88341,                0.79566,                0.87488,                0.64687,                0.96796,                0.76319,                 1.1411,             0.00072902,             0.00072902,             0.00072902
                     23,                0.96288,                0.88324,                  1.179,                0.85531,                0.80496,                0.86595,                0.63967,                0.95499,                0.79405,                 1.1365,             0.00072002,             0.00072002,             0.00072002
                     24,                0.95894,                0.86391,                 1.1776,                0.86046,                0.78698,                0.84854,                0.63001,                0.93892,                 0.8356,                 1.1199,             0.00071102,             0.00071102,             0.00071102
                     25,                0.94358,                0.84581,                 1.1673,                0.87326,                0.79115,                0.86078,                0.63509,                0.94697,                0.78519,                 1.1294,             0.00070202,             0.00070202,             0.00070202
                     26,                0.93743,                0.82996,                 1.1691,                0.87301,                0.81525,                0.86858,                0.65255,                0.94806,                0.78003,                 1.1434,             0.00069302,             0.00069302,             0.00069302
                     27,                0.91824,                0.80743,                 1.1491,                 0.8535,                0.83182,                 0.8704,                0.65653,                0.92176,                0.74619,                 1.1233,             0.00068402,             0.00068402,             0.00068402
                     28,                 0.9048,                0.80499,                 1.1462,                0.87278,                0.81205,                0.86888,                0.64274,                0.94853,                0.77962,                 1.1374,             0.00067502,             0.00067502,             0.00067502
                     29,                0.90333,                 0.7939,                 1.1418,                0.87459,                0.82835,                0.87782,                0.66597,                0.91648,                0.75198,                 1.1375,             0.00066602,             0.00066602,             0.00066602
                     30,                0.89196,                0.78574,                 1.1445,                0.85923,                0.83704,                0.87528,                0.65203,                0.94617,                0.75429,                 1.1381,             0.00065703,             0.00065703,             0.00065703
                     31,                0.89073,                0.76903,                 1.1328,                0.87147,                0.82252,                0.87045,                0.65167,                0.94598,                0.75943,                 1.1433,             0.00064803,             0.00064803,             0.00064803
                     32,                0.86425,                0.76238,                  1.128,                 0.8473,                0.82882,                0.87799,                0.65693,                0.93436,                0.73687,                 1.1434,             0.00063903,             0.00063903,             0.00063903
                     33,                0.87387,                0.74944,                 1.1263,                0.87382,                0.83381,                0.88041,                0.66393,                0.91506,                0.73008,                 1.1189,             0.00063003,             0.00063003,             0.00063003
                     34,                0.86346,                0.73174,                 1.1204,                 0.8537,                0.83706,                0.88148,                0.66188,                0.91716,                0.72315,                 1.1257,             0.00062103,             0.00062103,             0.00062103
                     35,                0.86055,                0.73841,                 1.1179,                0.88732,                0.82871,                0.88539,                0.67385,                0.89652,                0.71753,                 1.1115,             0.00061203,             0.00061203,             0.00061203
                     36,                0.85251,                0.72422,                 1.1165,                0.86735,                0.84394,                0.88526,                0.68099,                0.91102,                 0.6951,                 1.1348,             0.00060303,             0.00060303,             0.00060303
                     37,                0.84771,                0.72573,                 1.1165,                0.87928,                0.85066,                0.88617,                0.67507,                0.89204,                0.69119,                 1.1172,             0.00059403,             0.00059403,             0.00059403
                     38,                0.82609,                0.69107,                 1.0964,                0.86963,                0.84199,                0.88859,                0.67215,                0.91578,                0.71235,                 1.1179,             0.00058503,             0.00058503,             0.00058503
                     39,                 0.8375,                0.70099,                 1.1027,                0.84494,                0.84252,                0.87291,                0.66796,                0.89509,                0.70636,                  1.119,             0.00057603,             0.00057603,             0.00057603
                     40,                0.81984,                0.68127,                 1.0967,                0.87786,                0.83794,                0.88349,                0.67875,                0.88528,                0.69513,                 1.1171,             0.00056703,             0.00056703,             0.00056703
                     41,                0.81705,                0.68124,                 1.0963,                0.86563,                 0.8439,                0.88775,                0.67382,                0.89911,                0.69244,                 1.1199,             0.00055804,             0.00055804,             0.00055804
                     42,                0.81416,                0.67656,                 1.0907,                0.88968,                0.83669,                0.89314,                0.68521,                0.89841,                0.68879,                 1.1207,             0.00054904,             0.00054904,             0.00054904
                     43,                0.79225,                0.66191,                 1.0814,                0.87337,                0.84209,                0.87817,                 0.6826,                0.87706,                0.68887,                 1.1034,             0.00054004,             0.00054004,             0.00054004
                     44,                0.79203,                0.65174,                 1.0777,                0.87337,                0.86054,                0.89232,                 0.6907,                0.86281,                 0.6708,                 1.1081,             0.00053104,             0.00053104,             0.00053104
                     45,                0.78682,                0.64712,                 1.0772,                0.88265,                0.83596,                0.88319,                0.68426,                 0.8785,                0.70109,                 1.1001,             0.00052204,             0.00052204,             0.00052204
                     46,                  0.775,                0.65192,                 1.0718,                0.87249,                0.86105,                0.88826,                 0.6938,                0.84231,                0.67408,                 1.0838,             0.00051304,             0.00051304,             0.00051304
                     47,                0.77754,                0.63496,                 1.0698,                0.87422,                0.85821,                0.89037,                0.69148,                0.86355,                0.69819,                 1.0992,             0.00050404,             0.00050404,             0.00050404
                     48,                0.77064,                0.62568,                  1.069,                0.86668,                0.83446,                0.87643,                0.68045,                0.85968,                0.70411,                 1.0984,             0.00049504,             0.00049504,             0.00049504
                     49,                  0.767,                 0.6128,                 1.0663,                0.84644,                0.86489,                0.88306,                0.68933,                0.85748,                0.65668,                 1.1101,             0.00048604,             0.00048604,             0.00048604
                     50,                0.74668,                0.60188,                   1.05,                0.88002,                0.84372,                0.88566,                 0.6878,                0.85965,                0.66223,                 1.1021,             0.00047704,             0.00047704,             0.00047704
                     51,                0.74816,                0.59788,                  1.056,                0.86698,                0.85181,                 0.8806,                0.68916,                0.85836,                0.67599,                 1.0994,             0.00046804,             0.00046804,             0.00046804
                     52,                0.74531,                0.60633,                 1.0496,                0.87388,                0.86606,                0.89365,                0.69939,                 0.8651,                0.65061,                 1.1052,             0.00045904,             0.00045904,             0.00045904
                     53,                0.73546,                0.59725,                 1.0462,                0.87931,                0.85052,                0.89043,                0.69426,                0.85742,                0.66101,                 1.0982,             0.00045005,             0.00045005,             0.00045005
                     54,                0.74047,                 0.5887,                 1.0488,                0.86564,                0.86624,                0.88968,                 0.6934,                0.85805,                0.65149,                 1.1021,             0.00044105,             0.00044105,             0.00044105
                     55,                0.71946,                0.56573,                 1.0377,                 0.9001,                 0.8368,                0.89057,                0.69883,                0.85362,                0.65063,                 1.1066,             0.00043205,             0.00043205,             0.00043205
                     56,                0.72107,                 0.5744,                  1.039,                0.88427,                0.84922,                0.88925,                0.70124,                0.84995,                0.62952,                 1.0985,             0.00042305,             0.00042305,             0.00042305
                     57,                0.71862,                0.56571,                  1.039,                0.89025,                0.83428,                0.88707,                0.69901,                0.84357,                0.64357,                 1.1005,             0.00041405,             0.00041405,             0.00041405
                     58,                0.70671,                0.56161,                 1.0289,                0.88726,                0.84506,                0.88479,                0.69458,                 0.8427,                0.65938,                 1.0965,             0.00040505,             0.00040505,             0.00040505
                     59,                0.71048,                 0.5532,                 1.0313,                0.88322,                0.85147,                0.89189,                0.70444,                0.83718,                0.63677,                 1.0902,             0.00039605,             0.00039605,             0.00039605
                     60,                0.69436,                0.54103,                 1.0224,                0.87967,                0.85014,                0.89092,                0.70126,                0.84138,                0.63359,                 1.1002,             0.00038705,             0.00038705,             0.00038705
                     61,                0.69082,                0.53959,                 1.0279,                0.87722,                0.85864,                0.88973,                 0.7075,                0.82698,                0.62453,                 1.0988,             0.00037805,             0.00037805,             0.00037805
                     62,                0.68952,                0.54089,                  1.022,                0.87722,                0.85171,                0.89204,                  0.711,                0.82621,                0.63754,                 1.0933,             0.00036905,             0.00036905,             0.00036905
                     63,                0.68709,                0.53523,                 1.0259,                0.88623,                0.85207,                0.89341,                0.70781,                0.82452,                0.63921,                 1.0864,             0.00036005,             0.00036005,             0.00036005
                     64,                0.68296,                0.52789,                 1.0184,                0.87964,                0.84601,                 0.8868,                0.70389,                0.83354,                0.64919,                 1.0878,             0.00035106,             0.00035106,             0.00035106
                     65,                0.68062,                0.52822,                 1.0126,                0.89033,                0.86601,                0.89096,                0.70777,                 0.8418,                0.63796,                    1.1,             0.00034206,             0.00034206,             0.00034206
                     66,                0.67852,                0.52022,                 1.0172,                0.88757,                0.85253,                0.88927,                0.71383,                0.82067,                 0.6467,                 1.0969,             0.00033306,             0.00033306,             0.00033306
                     67,                 0.6651,                 0.5251,                 1.0092,                0.90691,                 0.8381,                0.89063,                0.71099,                0.80481,                0.63764,                 1.0855,             0.00032406,             0.00032406,             0.00032406
                     68,                0.65107,                0.51045,                 1.0016,                0.89722,                0.85584,                0.88961,                0.71111,                 0.8083,                0.63385,                 1.0917,             0.00031506,             0.00031506,             0.00031506
                     69,                0.65484,                0.50532,                  1.005,                0.87597,                0.86622,                0.89096,                  0.715,                0.80581,                0.62123,                 1.0829,             0.00030606,             0.00030606,             0.00030606
                     70,                 0.6456,                0.49647,                 1.0035,                0.89684,                0.84204,                0.88643,                0.70945,                0.80951,                0.64395,                 1.0819,             0.00029706,             0.00029706,             0.00029706
                     71,                 0.6401,                0.49032,                0.99852,                 0.8991,                0.84774,                0.89317,                0.70874,                0.81673,                0.64073,                 1.0968,             0.00028806,             0.00028806,             0.00028806
                     72,                0.63966,                0.48552,                0.99715,                 0.8933,                  0.842,                0.89112,                0.71674,                0.80847,                0.61718,                 1.0832,             0.00027906,             0.00027906,             0.00027906
                     73,                0.63685,                0.48764,                0.99428,                0.89211,                0.85363,                0.88968,                0.71528,                0.81029,                0.62566,                 1.0936,             0.00027006,             0.00027006,             0.00027006
                     74,                0.63473,                0.48161,                0.99368,                0.88148,                0.86084,                0.89273,                0.71798,                0.80654,                0.63554,                 1.0859,             0.00026106,             0.00026106,             0.00026106
                     75,                0.63533,                0.48869,                0.99221,                0.89199,                0.85372,                  0.893,                0.71712,                0.81215,                0.64264,                 1.0963,             0.00025207,             0.00025207,             0.00025207
                     76,                 0.6171,                0.47175,                0.98581,                0.89561,                0.87149,                0.89195,                 0.7175,                0.80074,                0.61956,                 1.0855,             0.00024307,             0.00024307,             0.00024307
                     77,                0.62018,                0.47075,                0.98624,                0.91361,                0.83845,                0.89571,                0.72008,                0.80538,                0.64393,                 1.0915,             0.00023407,             0.00023407,             0.00023407
                     78,                0.60864,                 0.4657,                0.98847,                0.89482,                0.85364,                0.88973,                0.71758,                0.80984,                0.63215,                 1.0958,             0.00022507,             0.00022507,             0.00022507
                     79,                 0.6101,                0.46544,                 0.9842,                0.88013,                0.87412,                0.89699,                0.72104,                 0.8013,                0.62339,                  1.098,             0.00021607,             0.00021607,             0.00021607
                     80,                0.60135,                0.44838,                0.98011,                0.89703,                0.86698,                0.89543,                 0.7213,                0.80059,                0.62041,                 1.1012,             0.00020707,             0.00020707,             0.00020707
                     81,                0.60054,                 0.4562,                0.97885,                0.90585,                0.85206,                0.89858,                0.72357,                0.80532,                0.61744,                  1.102,             0.00019807,             0.00019807,             0.00019807
                     82,                0.59719,                0.45719,                0.97978,                0.90995,                 0.8491,                0.89448,                0.71911,                0.80593,                0.62151,                 1.0962,             0.00018907,             0.00018907,             0.00018907
                     83,                0.58513,                0.43335,                0.97214,                0.88611,                0.86005,                0.89264,                0.72031,                0.80142,                0.63393,                  1.099,             0.00018007,             0.00018007,             0.00018007
                     84,                0.58624,                0.44139,                0.97265,                0.88141,                0.86752,                 0.8916,                0.71716,                0.80944,                0.62135,                  1.105,             0.00017107,             0.00017107,             0.00017107
                     85,                0.57412,                0.43021,                0.96979,                0.88623,                0.87065,                0.89602,                0.72061,                0.80545,                0.62805,                 1.0975,             0.00016207,             0.00016207,             0.00016207
                     86,                0.56886,                0.42913,                0.96427,                0.90031,                  0.862,                0.89628,                0.72547,                0.79559,                 0.6268,                 1.1012,             0.00015308,             0.00015308,             0.00015308
                     87,                 0.5683,                0.42396,                0.96692,                0.90016,                0.86013,                0.89531,                0.72573,                0.79916,                0.61598,                 1.1046,             0.00014408,             0.00014408,             0.00014408
                     88,                0.56672,                0.42718,                0.96237,                0.88627,                0.86983,                0.89656,                0.72472,                0.79673,                0.62402,                 1.0994,             0.00013508,             0.00013508,             0.00013508
                     89,                0.56295,                0.42159,                0.96243,                0.90078,                0.86561,                0.89773,                0.72788,                0.78904,                 0.6082,                 1.0929,             0.00012608,             0.00012608,             0.00012608
                     90,                0.56054,                 0.4244,                0.96531,                0.88993,                0.87147,                0.89639,                0.72344,                0.79987,                0.62573,                 1.1019,             0.00011708,             0.00011708,             0.00011708
                     91,                0.49432,                0.32708,                0.91187,                0.89071,                0.87192,                0.89386,                0.72505,                0.79467,                 0.6197,                 1.1047,             0.00010808,             0.00010808,             0.00010808
                     92,                0.48678,                0.31854,                0.91434,                0.90658,                0.86473,                 0.8938,                0.72711,                 0.7886,                0.61115,                 1.0946,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     93,                0.48432,                0.31266,                 0.9069,                 0.8942,                0.87856,                0.89811,                0.72955,                0.78685,                0.60843,                 1.0965,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     94,                0.47489,                0.30841,                0.90406,                 0.9156,                 0.8625,                0.89407,                0.72876,                0.78465,                0.60343,                 1.0925,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     95,                0.46672,                0.30121,                0.90111,                0.90748,                 0.8626,                0.89466,                0.72831,                0.78203,                 0.6089,                 1.0948,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     96,                0.46217,                0.29918,                0.89601,                0.90962,                0.86359,                0.89432,                0.72942,                0.78546,                0.61099,                 1.0998,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     97,                0.45843,                0.29562,                0.89787,                0.90388,                0.86449,                 0.8931,                0.72919,                0.78101,                0.60917,                 1.0965,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     98,                0.45023,                0.29046,                 0.8981,                0.90883,                0.87043,                0.89254,                0.72939,                0.77787,                0.60689,                 1.0945,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     99,                0.44916,                0.28738,                  0.891,                0.90383,                0.87124,                0.89472,                0.73106,                0.77573,                0.61116,                 1.0952,             3.6087e-05,             3.6087e-05,             3.6087e-05
                    100,                 0.4446,                0.28535,                0.89058,                 0.9018,                0.87217,                 0.8923,                0.73147,                0.77593,                0.60937,                 1.0929,             2.7088e-05,             2.7088e-05,             2.7088e-05
